canonical_identity	entry_format_version	entry_id	inclusion_source_ids	inclusion_sources	inclusion_status	limitations	original_identifier	rejection_reason	resistance_axes	resolution_status	role_annotation	universe_type
symbol:APOBEC3B|entrez:9582	v0.5.0	tue_9a471d98999c6b1a09e426607d141873f77c6b871984e99b57c1f98b1bb289fc	"[""tus_8803ad27b4e313e36ba7d0e54001adc3fef0308adab6af7c55be626915533554""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000179750""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	APOBEC3B		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARG1|entrez:383	v0.5.0	tue_3326f1c120173a3ee3a2539b236ee446b8af032e72f456571343a193bed04d59	"[""tus_455344767e5ac59169f1bf73a58341f02b66f1024885972db4def56f02f4c49a""]"	"[{""dataset_version"": ""benchmark_v1"", ""inclusion_rule"": ""policy-required benchmark union"", ""limitations"": [], ""source_class"": ""benchmark_union"", ""source_record_id"": ""symbol:ARG1|entrez:383""}]"	included	[]	ARG1		"[""metabolic_immune_suppression""]"	resolved_exact	metabolic immune-suppression target	discovery
symbol:ARHGAP35|entrez:2909	v0.5.0	tue_048ad038e178ce7f06c4602c12b5b3c3f42d1d9c8a959eee8225f37aef3fab1b	"[""tus_f6330f226d041722ce7c4a5b248c7818a15478e7280993c88090619076ec307e""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000160007""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARHGAP35		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARHGEF12|entrez:23365	v0.5.0	tue_e3d5b95a9d6e306ee8e2fbe1f3c5bd7acc179cc23175295a700e67b6f269c3d7	"[""tus_a81fb66891c6ba89122c62ccd7dec054b32618ec05b0646f15406687694ea69c""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000196914""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARHGEF12		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARID1A|entrez:8289	v0.5.0	tue_28626265beb699a14243897bc93051e0d219093052fd24886bb11de2817dbb20	"[""tus_d40ec3e9de4d0e9152d0c509677d3e1279777eab927a088f6a7f18cd549d10a3""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000117713""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARID1A		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARID1B|entrez:57492	v0.5.0	tue_6ad6b59b2d3ef9c20e0e96631bc0f247ec7c8ce1c21d84bbd57c1a76d2fdbab6	"[""tus_2b50c4ec0197197358a8d2fe5f9c740b8ed0a834ae213d47fd3472679101ce18""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000049618""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARID1B		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARID2|entrez:196528	v0.5.0	tue_1fdf2e944599318e5e932464224e71eb931ce741651f87557b59d3444e277f37	"[""tus_9bf5c03214868a02a52eb6dc1e5330f3bf720ec5b3bc7c860124939b2afac313""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000189079""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARID2		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ARNT|entrez:405	v0.5.0	tue_eaf389f560525650198d0ad66dd6cb021ba84f5170f0d9aef7bd7d0111440711	"[""tus_7e97282c2435886d83e2b4fbbe0665312656c8700dbd1df891e5437331d4dc60""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000143437""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ARNT		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AR|entrez:367	v0.5.0	tue_3e62701c840a1037c026da8fc65dc15f630edb868759429f91f95e245837eb8b	"[""tus_f2ccc09190b1e30ad3f380ff8cd4058c2e8c4a573622e120444fa16586d9a653""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000169083""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AR		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ASPSCR1|entrez:79058	v0.5.0	tue_3c9868b7cb6279abde2157eeac2e1733b48f6b41a932ab84910eeeec549a4092	"[""tus_551b10099abaf3ba7be626daae062e0db18434fc1bec4d9e07767ab293b98886""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000169696""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ASPSCR1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ATF1|entrez:466	v0.5.0	tue_834ac9ae356aeffcdf06d8a0adbcf2746cad461031a60749a414ac4a0ab21436	"[""tus_67063725b74617f452da2e62a9792a6b53b10723449d93af709050d729d71335""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000123268""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ATF1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ATM|entrez:472	v0.5.0	tue_a892355b54596014e95f77f67d1a54cfb14d3a12e5da7dcde989965b488cb296	"[""tus_38017e0c6c0576a2257ce49d37091124be9664cfae2433d02c7da1828e4e5391""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000149311""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ATM		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ATP2B3|entrez:492	v0.5.0	tue_17c5962122aca7cdae373b5c774e144335c9120152067c3518822c3ce0214eb1	"[""tus_f59edf1b5f42cc119f4722de57a7f9d3ef6f26a618fbd64dcfdd709b60fc7ddc""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000067842""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ATP2B3		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ATRX|entrez:546	v0.5.0	tue_56b6e7f346b4daf83ecef00b0e68a61a1831a62b66bf5d53f63b8f4d4ca2d873	"[""tus_8a00d84070634a7fc8b943ae5a93bc68044143d3facb643fa426bef200172037""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000085224""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ATRX		"[""other_unresolved""]"	resolved_exact		discovery
symbol:ATR|entrez:545	v0.5.0	tue_f2efdf1a1f43b801557250daf38ffa5318aa9477331a61d13afb180158f8361e	"[""tus_7f4420dbd8fcd788575fb20214f39682ec439a802e151d0d98f91fec68f51b00""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000175054""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	ATR		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AXIN1|entrez:8312	v0.5.0	tue_4fd6cdc43e73aa5a2e6198330f8b3f3200aea96563c1bc5eb691189ad1b70c02	"[""tus_79473195d36f8c0f783fa9e1bba036da8034c97460066b9641f12c6184c80e76""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000103126""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	AXIN1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:AXL|entrez:558	v0.5.0	tue_f4df6e8c9000ec2492f28ed487acf0a34ae94a647126e7dbf06aec9ada3196d5	"[""tus_097eced9a30898a566261a5f91811d9e51bd874e48d6aad821edd4f96f6b742c""]"	"[{""dataset_version"": ""benchmark_v1"", ""inclusion_rule"": ""policy-required benchmark union"", ""limitations"": [], ""source_class"": ""benchmark_union"", ""source_record_id"": ""symbol:AXL|entrez:558""}]"	included	[]	AXL		"[""melanoma_plasticity""]"	resolved_exact	melanoma plasticity / resistance-associated marker	discovery
symbol:B2M|entrez:567	v0.5.0	tue_a7574de048c566cbc6140ece35caccc64ed29883025913949c75dce33303c511	"[""tus_6a9818aea76119b44a27cce311eb281659a15e2241a0426be5260b9ccda00a2a""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000166710""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation.""]"	B2M		"[""antigen_presentation_loss""]"	resolved_exact		discovery
symbol:BACH2|entrez:60468	v0.5.0	tue_fc11ae0517f1b98cce561cbd46dbb3447b1a6b506172102b18d7d065a8010527	"[""tus_51db7706f0937c0dcd48dfd2ac1ed7d772f0ec9f29d06c77838d1f858bf23b06""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000112182""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	BACH2		"[""other_unresolved""]"	resolved_exact		discovery
symbol:BAP1|entrez:8314	v0.5.0	tue_24dc8aa6fe792dd7fc3f6333437926ee1c853f5e7ad85da0bbd0a373fab50b93	"[""tus_ece6655a4126263d5a8667ddd317af520af4f82396f332d1af6e41fd36865212""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000163930""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	BAP1		"[""other_unresolved""]"	resolved_exact		discovery
symbol:BCL11A|entrez:53335	v0.5.0	tue_e2734e3d55bd6ec636b80b872dacde01963999cc14cabffbc9c17ab076727764	"[""tus_4636976d1ef05186f8b4984f34068dc31ab32654f945de5dfd1d6af3520e2bd2""]"	"[{""dataset_version"": ""TargetIntel-IO:d6e7a5748b7c"", ""inclusion_rule"": ""Frozen membership in the pre-DepMap Open Targets-derived 300-target melanoma association universe used by TargetIntel."", ""limitations"": [""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""], ""source_class"": ""opentargets_candidate"", ""source_record_id"": ""ENSG00000119866""}]"	included	"[""Open Targets-derived universe subsequently annotated by TargetIntel; membership was frozen before DepMap evaluation."", ""Original axis value unmapped was normalized to the controlled ontology value other_unresolved.""]"	BCL11A		"[""other_unresolved""]"	resolved_exact		discovery
